Картриджи для лазерных принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""106r01285/""><b>Xerox 106R01285</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6130n/"">Phaser 6130N</a></div>",1800          ,1700          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01305/""><b>Xerox 106R01305</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5225/"">WC 5225</a>, <a href=""/printer/xerox/wc-5230/"">WC 5230</a></div>",1900          ,1850          ,4500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01370/""><b>Xerox 106R01370</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3600/"">Phaser 3600</a></div>",-          ,-          ,15620,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01371/""><b>Xerox 106R01371</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3600/"">Phaser 3600</a></div>",-          ,-          ,5250,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01372/""><b>Xerox 106R01372</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3600/"">Phaser 3600</a></div>",4290          ,4190          ,4120,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01372-og/""><b>Xerox 106R01372 ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01373/""><b>Xerox 106R01373</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3250/"">Phaser 3250</a></div>",-          ,-          ,11250,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01374/""><b>Xerox 106R01374</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3250/"">Phaser 3250</a></div>",2050          ,2000          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01378/""><b>Xerox 106R01378</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3100mfp/"">Phaser 3100MFP/S (МФУ)</a></div>",-          ,-          ,9570,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01379/""><b>Xerox 106R01379</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3100mfp/"">Phaser 3100MFP/S (МФУ)</a></div>",2250          ,2200          ,15320,"<span class=""rini_color-square-black""></span>"
