Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""lc1100hyc/""><b>Brother LC1100HYC</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-6690cw/"">DCP-6690CW</a></div>",-          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""lc1100hym/""><b>Brother LC1100HYM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-6690cw/"">DCP-6690CW</a></div>",-          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""lc1100hyy/""><b>Brother LC1100HYY</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-6690cw/"">DCP-6690CW</a></div>",-          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""lc1100m/""><b>Brother LC1100M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-490cw/"">MFC-490CW</a></div>",300          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""lc1100y/""><b>Brother LC1100Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-490cw/"">MFC-490CW</a></div>",300          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""lc1240bk/""><b>Brother LC1240BK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-j525w/"">DCP-J525W</a>, <a href=""/printer/brother/mfc-j430w/"">MFC-J430W</a></div>",350          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""lc1240c/""><b>Brother LC1240C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-j430w/"">MFC-J430W</a></div>",350          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""lc1240m/""><b>Brother LC1240M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-j430w/"">MFC-J430W</a></div>",350          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""lc1240y/""><b>Brother LC1240Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-j430w/"">MFC-J430W</a></div>",350          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""lc1280xlbk/""><b>Brother LC1280XLBK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-j6510dw/"">MFC-J6510DW</a>, <a href=""/printer/brother/mfc-j6910dw/"">MFC-J6910DW</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
